,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
160,KREF,KKR Real Estate Finance Trust Inc.,705.62M,1.23%,239041,202.81M
161,INN,"Summit Hotel Properties, Inc.",687.52M,-0.23%,277495,736.13M
162,HOUS,Anywhere Real Estate Inc.,664.04M,3.24%,293221,5.64B
163,NYMT,"New York Mortgage Trust, Inc.",663.50M,0.62%,326351,198.87M
164,GMRE,Global Medical REIT Inc.,630.94M,0.45%,164880,141.05M
165,DHC,Diversified Healthcare Trust,625.09M,-0.94%,571935,1.41B
166,WSR,Whitestone REIT,616.22M,0.90%,129468,144.36M
167,REAX,The Real Brokerage Inc.,599.94M,-1.21%,186705,689.16M
168,TRTX,"TPG RE Finance Trust, Inc.",591.80M,1.38%,184434,116.39M
169,FRPH,"FRP Holdings, Inc.",576.64M,0.81%,4661,41.25M
170,PGRU,PropertyGuru Limited,566.94M,3.02%,8477,113.74M
171,GOOD,Gladstone Commercial Corporation,544.29M,-0.07%,88685,147.58M
172,FPI,Farmland Partners Inc.,538.10M,-0.46%,96667,57.47M
173,UHT,Universal Health Realty Income Trust,527.80M,0.10%,42111,95.58M
174,SRG,Seritage Growth Properties,524.49M,0.27%,125524,34.56M
175,CLDT,Chatham Lodging Trust,512.99M,-0.15%,104225,311.11M
176,LSEA,Landsea Homes Corporation,485.21M,1.41%,224814,1.21B
177,OLP,"One Liberty Properties, Inc.",483.73M,-1.32%,26139,90.65M
178,LAND,Gladstone Land Corporation,474.33M,0.23%,69340,90.40M
179,FPH,"Five Point Holdings, LLC",471.64M,-2.20%,25076,211.73M
180,IVR,Invesco Mortgage Capital Inc.,452.62M,0.27%,516442,3.87M
181,ORC,"Orchid Island Capital, Inc.",447.88M,0.74%,581562,-20.70M
182,ACRE,Ares Commercial Real Estate Corporation,420.14M,0.45%,299354,92.93M
183,MLP,"Maui Land & Pineapple Company, Inc.",412.30M,1.29%,16776,9.05M
184,STRW,Strawberry Fields REIT LLC,402.48M,1.82%,521,97.90M
185,PSTL,"Postal Realty Trust, Inc.",391.86M,0.43%,38847,63.71M
186,RMR,The RMR Group Inc.,388.23M,-0.24%,29280,973.25M
187,CTO,"CTO Realty Growth, Inc.",388.20M,0.33%,100267,109.12M
188,TCI,"Transcontinental Realty Investors, Inc.",339.44M,1.52%,346,49.24M
189,NLOP,Net Lease Office Properties,332.04M,0.95%,67519,174.97M
190,NREF,"NexPoint Real Estate Finance, Inc.",326.92M,-1.84%,34739,28.68M
191,ARL,"American Realty Investors, Inc.",306.08M,0.26%,601,49.76M
192,BRT,BRT Apartments Corp.,298.66M,1.43%,26057,92.82M
193,REFI,"Chicago Atlantic Real Estate Finance, Inc.",294.79M,0.56%,27831,57.15M
194,ILPT,Industrial Logistics Properties Trust,260.08M,0.76%,244852,437.34M
195,FLJ,FLJ Group Limited,257.96M,-4.03%,49588,-
196,AOMR,"Angel Oak Mortgage, Inc.",257.64M,1.45%,10492,17.01M
197,AFCG,"AFC Gamma, Inc.",256.07M,1.45%,48460,64.18M
198,RMAX,"RE/MAX Holdings, Inc.",254.40M,2.30%,98842,325.67M
199,NEN,New England Realty Associates LP,251.34M,-,14,72.46M
200,GPMT,Granite Point Mortgage Trust Inc.,243.55M,2.09%,155522,-19.81M
201,PINE,"Alpine Income Property Trust, Inc.",236.88M,1.15%,35211,45.64M
202,FSP,Franklin Street Properties Corp.,228.58M,0.68%,167571,145.71M
203,OPAD,Offerpad Solutions Inc.,221.83M,2.40%,18427,1.31B
204,OZ,"Belpointe PREP, LLC",216.80M,-0.17%,1108,2.16M
205,CLPR,Clipper Realty Inc.,208.09M,0.82%,4069,136.35M
206,ONL,Orion Office REIT Inc.,193.57M,0.14%,156625,195.04M
207,SEVN,Seven Hills Realty Trust,190.47M,0.16%,28806,34.51M
208,SDHC,Smith Douglas Homes Corp.,184.08M,-,18719,755.35M
209,DOUG,Douglas Elliman Inc.,183.07M,-3.00%,339964,955.58M
210,SACH,Sachem Capital Corp.,181.88M,4.00%,496465,64.59M
211,STRS,Stratus Properties Inc.,180.39M,1.60%,4333,26.30M
212,MITT,"AG Mortgage Investment Trust, Inc.",179.66M,-0.98%,126461,93.85M
213,CIO,"City Office REIT, Inc.",176.68M,0.46%,62737,179.10M
214,BHR,Braemar Hotels & Resorts Inc.,168.83M,1.77%,186612,733.43M
215,STHO,Star Holdings,157.44M,-0.51%,37559,123.05M
216,MDV,Modiv Inc.,134.84M,0.20%,9706,46.94M
217,AXR,AMREP Corporation,121.93M,0.43%,1226,44.53M
218,LFT,"Lument Finance Trust, Inc.",120.64M,-,28512,28.01M
219,EARN,Ellington Residential Mortgage REIT,116.91M,0.24%,155848,-634.00K
220,AJX,Great Ajax Corp.,110.12M,0.50%,146278,-17.07M
221,CHMI,Cherry Hill Mortgage Investment Corporation,103.58M,-0.44%,96245,-21.20M
222,OPI,Office Properties Income Trust,100.43M,3.88%,847024,533.55M
223,MAYS,"J.W. Mays, Inc.",88.69M,-,2,22.13M
224,ACR,ACRES Commercial Realty Corp.,85.93M,-0.14%,9394,91.13M
225,CMCT,Creative Media & Community Trust Corporation,82.03M,-,12985,115.66M
226,DOMA,Doma Holdings Inc.,73.50M,-13.16%,29187,335.84M
227,ASPS,Altisource Portfolio Solutions S.A.,70.41M,2.64%,41243,145.07M
228,AIRE,reAlpha Tech Corp.,60.46M,-11.88%,1035558,-
229,AHT,"Ashford Hospitality Trust, Inc.",58.55M,-1.77%,327059,1.37B
230,SOHO,Sotherly Hotels Inc.,58.44M,2.16%,19196,173.03M
231,FTHM,Fathom Holdings Inc.,55.69M,-0.57%,3150,354.59M
232,LOAN,"Manhattan Bridge Capital, Inc.",54.22M,0.95%,9791,9.80M
233,LRE,"Lead Real Estate Co., Ltd",50.68M,-20.28%,16304,117.90M
234,WETH,Wetouch Technology Inc.,47.81M,6.67%,107468,39.88M
235,SELF,"Global Self Storage, Inc.",46.27M,0.85%,24677,12.27M
236,CHCI,"Comstock Holding Companies, Inc.",45.36M,0.43%,1610,43.01M
237,LODE,Comstock Inc.,41.93M,13.26%,879256,1.27M
238,RFL,"Rafael Holdings, Inc.",40.68M,-0.60%,36110,277.00K
239,LRHC,La Rosa Holding Corp.,24.57M,2.84%,123824,26.32M
240,OMH,Ohmyhome Limited,23.00M,6.93%,312907,4.36M
241,GIPR,"Generation Income Properties, Inc.",20.81M,-,18562,5.91M
242,LEJU,Leju Holdings Limited,18.33M,8.27%,3194,332.27M
243,GYRO,"Gyrodyne, LLC",17.66M,4.22%,101,-
244,NYC,American Strategic Investment Co,16.47M,5.84%,2712,63.53M
245,XIN,"Xinyuan Real Estate Co., Ltd.",16.16M,-1.10%,5172,754.13M
246,MDJH,MDJM Ltd,15.18M,-5.39%,856,29.45K
247,SQFT,"Presidio Property Trust, Inc.",15.17M,1.98%,29240,17.63M
248,WHLR,"Wheeler Real Estate Investment Trust, Inc.",14.62M,-8.01%,189538,102.33M
249,IHT,InnSuites Hospitality Trust,13.51M,-,679,7.39M
250,AEI,Alset EHome International Inc.,12.98M,6.22%,6054,21.95M
251,MDRR,"Medalist Diversified REIT, Inc.",12.64M,1.77%,16513,10.27M
252,SGD,Safe and Green Development Corporation,11.31M,-7.87%,546013,-
253,TPHS,Trinity Place Holdings Inc.,8.21M,0.78%,120686,42.33M
254,GBR,"New Concept Energy, Inc.",5.34M,0.85%,1662,172.00K
255,GGE,Green Giant Inc.,4.98M,-0.86%,3939854,1.80M
256,ALBT,Avalon GloboCare Corp.,4.13M,0.26%,41919,1.23M
257,VINO,"Gaucho Group Holdings, Inc.",3.71M,-6.81%,96655,1.99M
258,DUO,Fangdd Network Group Ltd.,2.83M,-3.91%,2457562,35.17M
259,PW,Power REIT,2.10M,3.19%,3347,4.00M
260,UK,Ucommune International Ltd,1.94M,1.21%,122294,87.50M
