,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
240,UAMY,United States Antimony Corporation,25.86M,6.91%,91593,8.45M
241,FSI,"Flexible Solutions International, Inc.",23.25M,-,8366,41.11M
242,PZG,Paramount Gold Nevada Corp.,22.63M,3.61%,97313,-
243,GRFX,Graphex Group Limited,21.48M,-4.99%,37099,42.01M
244,INHD,Inno Holdings Inc.,20.13M,1.00%,18771,657.36K
245,ZKIN,"ZK International Group Co., Ltd.",20.06M,3.03%,34691,109.16M
246,SEED,Origin Agritech Limited,19.20M,-7.35%,35060,12.83M
247,JCTCF,Jewett-Cameron Trading Company Ltd.,18.86M,-,58,51.52M
248,AAU,Almaden Minerals Ltd.,18.80M,2.34%,182441,-
249,HLP,Hongli Group Inc.,17.94M,4.04%,21990,18.71M
250,LITM,Snow Lake Resources Ltd.,17.53M,1.28%,63888,-
251,AUST,Austin Gold Corp.,15.40M,0.43%,181082,-
252,GURE,"Gulf Resources, Inc.",13.56M,-0.78%,36931,41.76M
253,RETO,"ReTo Eco-Solutions, Inc.",8.24M,-6.39%,67548,4.82M
254,CNEY,CN Energy Group. Inc.,6.08M,-2.26%,26621,57.90M
255,AUMN,Golden Minerals Company,4.94M,0.31%,179205,16.29M
256,SVFD,"Save Foods, Inc.",4.40M,-1.34%,108675,381.68K
257,SNES,"SenesTech, Inc.",4.37M,3.80%,16274,1.19M
258,YTEN,"Yield10 Bioscience, Inc.",3.08M,-,103165,147.00K
259,ITP,"IT Tech Packaging, Inc.",2.92M,-2.66%,15148,86.96M
260,RKDA,"Arcadia Biosciences, Inc.",2.83M,0.47%,2198,5.50M
261,CRKN,Crown ElectroKinetics Corp.,2.27M,-0.45%,3123407,59.00K
