,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
278,FRME,First Merchants Corporation,2.00B,0.03%,103617,647.50M
279,AGM.A,Federal Agricultural Mortgage Corporation,1.99B,-0.95%,359,350.20M
280,TSLX,"Sixth Street Specialty Lending, Inc.",1.97B,0.05%,243536,438.09M
281,BRP,"BRP Group, Inc.",1.92B,3.37%,164139,1.22B
282,TBBK,"The Bancorp, Inc.",1.92B,-2.72%,681276,447.82M
283,NAVI,Navient Corporation,1.88B,1.08%,210110,1.15B
284,DFIN,"Donnelley Financial Solutions, Inc.",1.86B,0.33%,46830,797.20M
285,MBIN,Merchants Bancorp,1.86B,-1.28%,19700,522.51M
286,IBTX,"Independent Bank Group, Inc.",1.86B,-0.13%,188490,503.86M
287,BBAR,BBVA Argentina,1.86B,7.25%,945540,975.67M
288,PLMR,"Palomar Holdings, Inc.",1.84B,2.68%,122395,375.93M
289,BFH,"Bread Financial Holdings, Inc.",1.81B,4.43%,634046,3.06B
290,NWLI,"National Western Life Group, Inc.",1.76B,-0.04%,3073,703.35M
291,ENVA,"Enova International, Inc.",1.76B,-0.09%,79630,1.23B
292,VRTS,"Virtus Investment Partners, Inc.",1.75B,-1.93%,21989,845.27M
293,LOB,"Live Oak Bancshares, Inc.",1.75B,-0.56%,69755,405.72M
294,TFIN,"Triumph Financial, Inc.",1.74B,0.42%,15968,406.05M
295,WSBC,"WesBanco, Inc.",1.72B,0.14%,73075,584.05M
296,LKFN,Lakeland Financial Corporation,1.71B,-0.59%,47913,241.04M
297,CLBK,"Columbia Financial, Inc.",1.70B,-0.25%,16304,228.47M
298,RNST,Renasant Corporation,1.70B,-0.15%,72403,616.81M
299,OFG,OFG Bancorp,1.69B,-,73484,628.61M
300,GSBD,"Goldman Sachs BDC, Inc.",1.69B,-0.16%,1251922,454.91M
301,STC,Stewart Information Services Corporation,1.67B,0.71%,48209,2.21B
302,FBK,FB Financial Corporation,1.66B,0.67%,29281,475.22M
303,BBUC,Brookfield Business Corporation,1.66B,-1.14%,7239,7.68B
304,CUBI,"Customers Bancorp, Inc.",1.65B,0.38%,112312,683.40M
305,GCMG,GCM Grosvenor Inc,1.63B,-0.12%,40519,445.00M
306,NBTB,NBT Bancorp Inc.,1.62B,-0.01%,51957,495.12M
307,TRMK,Trustmark Corporation,1.60B,-0.29%,54565,735.26M
308,BANR,Banner Corporation,1.58B,0.35%,74145,609.63M
309,OCSL,Oaktree Specialty Lending Corporation,1.57B,-0.60%,534018,398.09M
310,CHCO,City Holding Company,1.51B,-0.07%,17180,286.63M
311,FIHL,Fidelis Insurance Holdings Limited,1.50B,-0.38%,281067,3.60B
312,DWAC,Digital World Acquisition Corp.,1.49B,0.77%,411357,-
313,EFSC,Enterprise Financial Services Corp,1.47B,-0.57%,35462,594.71M
314,NWBI,"Northwest Bancshares, Inc.",1.46B,-0.31%,443166,526.63M
315,SKWD,"Skyward Specialty Insurance Group, Inc.",1.45B,-0.80%,82129,827.04M
316,HMN,Horace Mann Educators Corporation,1.45B,-0.73%,49235,1.49B
317,HTLF,"Heartland Financial USA, Inc.",1.44B,-0.15%,54865,558.60M
318,FINV,FinVolution Group,1.44B,1.53%,951639,1.70B
319,FBNC,First Bancorp,1.41B,0.31%,16262,386.34M
320,NTB,The Bank of N.T. Butterfield & Son Limited,1.40B,0.33%,82216,578.60M
321,FCF,First Commonwealth Financial Corporation,1.36B,0.68%,156447,467.47M
322,SYBT,"Stock Yards Bancorp, Inc.",1.34B,-0.34%,27258,325.76M
323,HOPE,"Hope Bancorp, Inc.",1.33B,0.18%,156693,542.34M
324,NMFC,New Mountain Finance Corporation,1.33B,-0.23%,434395,374.84M
325,NBHC,National Bank Holdings Corporation,1.31B,0.63%,18563,417.57M
326,WT,"WisdomTree, Inc.",1.30B,-,309732,349.04M
327,BUSE,First Busey Corporation,1.29B,-0.30%,31790,439.44M
328,STEL,"Stellar Bancorp, Inc.",1.27B,-0.33%,34073,452.38M
329,CASH,"Pathward Financial, Inc.",1.27B,-2.43%,99934,659.96M
