,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
132,SPTN,SpartanNash Company,690.08M,-0.21%,68108,9.73B
133,UNFI,"United Natural Foods, Inc.",686.50M,5.63%,417379,30.25B
134,NUS,"Nu Skin Enterprises, Inc.",645.44M,1.15%,416193,1.97B
135,OTLY,Oatly Group AB,583.53M,9.28%,1597677,783.35M
136,DAO,"Youdao, Inc.",553.99M,-0.90%,72131,760.11M
137,BYND,"Beyond Meat, Inc.",530.35M,4.15%,1543326,343.38M
138,CVGW,"Calavo Growers, Inc.",525.20M,0.22%,134404,873.35M
139,ISPR,Ispire Technology Inc.,512.40M,-0.74%,15547,141.32M
140,VTRU,Vitru Limited,492.68M,-0.91%,616,377.63M
141,LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,480.86M,-,5987,277.76M
142,TPB,"Turning Point Brands, Inc.",479.03M,1.66%,50351,405.39M
143,SKIN,The Beauty Health Company,471.25M,20.06%,16004841,397.99M
144,NGVC,"Natural Grocers by Vitamin Cottage, Inc.",410.00M,-0.78%,13461,1.16B
145,VLGEA,"Village Super Market, Inc.",408.76M,0.58%,7517,2.20B
146,SENEA,Seneca Foods Corporation,369.75M,-0.74%,14734,1.48B
147,SENEB,Seneca Foods Corporation,369.75M,-,1,1.48B
148,LMNR,Limoneira Company,333.99M,-,35869,181.73M
149,NATR,"Nature's Sunshine Products, Inc.",328.09M,18.37%,172485,445.32M
150,DDL,Dingdong (Cayman) Limited,326.65M,-9.27%,269469,2.82B
151,VSTA,Vasta Platform Limited,322.44M,-0.77%,7798,288.01M
152,LINC,Lincoln Educational Services Corporation,316.32M,0.35%,25919,378.07M
153,AFRI,Forafric Global PLC,278.47M,-,394,280.40M
154,APEI,"American Public Education, Inc.",214.79M,2.69%,77774,600.55M
155,MYND,Mynd.ai Inc,211.57M,4.03%,8736,38.46M
156,ALCO,"Alico, Inc.",206.60M,0.39%,7820,43.24M
157,FREE,"Whole Earth Brands, Inc.",204.86M,0.10%,149590,550.91M
158,MAMA,"Mama's Creations, Inc.",188.37M,0.40%,56399,99.38M
159,HFFG,HF Foods Group Inc.,184.66M,1.32%,13281,1.16B
160,LWAY,"Lifeway Foods, Inc.",162.19M,1.36%,24471,153.87M
161,QSG,QuantaSing Group Ltd,155.90M,4.35%,67424,3.49B
162,ACU,Acme United Corporation,147.38M,-2.67%,21789,191.50M
163,STG,Sunlands Technology Group,146.18M,6.74%,2362,302.12M
164,WILC,G. Willi-Food International Ltd.,142.71M,-3.11%,1767,141.13M
165,DIT,AMCON Distributing Company,123.54M,-1.50%,8,2.62B
166,BIG,"Big Lots, Inc.",116.57M,1.00%,781805,4.83B
167,JZ,Jianzhi Education Technology Group Company Limited,115.06M,4.19%,3888,525.98M
168,IH,iHuman Inc.,102.84M,4.12%,8429,143.60M
169,FTLF,"FitLife Brands, Inc.",99.73M,-,7726,44.77M
170,SKIL,Skillsoft Corp.,97.11M,0.88%,6655,-
171,BRID,Bridgford Foods Corporation,93.95M,3.75%,2141,244.86M
172,LFVN,LifeVantage Corporation,88.54M,0.73%,22417,210.95M
173,ZVIA,Zevia PBC,86.47M,-2.99%,154771,166.42M
174,VFF,"Village Farms International, Inc.",81.58M,-4.08%,876810,280.84M
175,AXIL,AXIL Brands Inc.,79.03M,-2.50%,691,27.08M
176,DTCK,Davis Commodities Limited,78.56M,3.45%,32388,206.72M
177,FARM,Farmer Bros. Co.,74.60M,-0.56%,23211,381.07M
178,AIU,Meta Data Limited,66.97M,-2.30%,9525,32.43M
179,BEDU,Bright Scholar Education Holdings Limited,65.10M,-6.30%,1213,-
180,GROV,"Grove Collaborative Holdings, Inc.",64.41M,3.20%,55402,273.46M
181,ATPC,Agape ATP Corporation,59.37M,12.04%,280068,1.43M
182,AACG,ATA Creativity Global,49.93M,-0.13%,21239,29.79M
183,COE,51 Talk Online Education Group,38.44M,-2.24%,509,24.69M
184,UG,"United-Guardian, Inc.",36.02M,2.68%,1734,11.04M
185,NAII,"Natural Alternatives International, Inc.",34.77M,-0.70%,4367,127.76M
186,VWE,"Vintage Wine Estates, Inc.",33.40M,-21.48%,443144,268.01M
187,BTOG,Bit Origin Limited,33.27M,-24.24%,808670,6.26M
188,LXEH,"Lixiang Education Holding Co., Ltd.",32.53M,-1.24%,518772,7.24M
189,TWOU,"2U, Inc.",31.37M,-2.91%,865487,945.95M
190,YQ,17 Education & Technology Group Inc.,29.88M,2.09%,6144,22.44M
191,GNS,Genius Group Limited,29.52M,-5.85%,1653087,22.55M
192,MSS,Maison Solutions Inc.,27.17M,-5.41%,161266,57.34M
193,DDC,DDC Enterprise Limited,25.91M,11.67%,19794,28.11M
194,SBEV,"Splash Beverage Group, Inc.",25.52M,-10.00%,294657,20.95M
195,WVVI,"Willamette Valley Vineyards, Inc.",25.29M,3.65%,2388,39.77M
196,AAGR,African Agriculture Holdings Inc.,23.59M,22.49%,2669928,1.65M
197,YGF,"YanGuFang International Group Co., Ltd.",23.47M,-,4097,36.08M
198,FEDU,Four Seasons Education (Cayman) Inc.,23.25M,-7.74%,1577,11.33M
199,RMCF,"Rocky Mountain Chocolate Factory, Inc.",22.86M,-1.66%,2490,26.30M
200,LOCL,Local Bounti Corporation,22.17M,0.19%,16936,27.33M
201,PLAG,Planet Green Holdings Corp.,20.78M,0.59%,1800,24.26M
202,SANW,S&W Seed Company,19.49M,-,50245,68.01M
203,RGF,"The Real Good Food Company, Inc.",18.73M,1.45%,109739,156.38M
204,SDOT,Sadot Group Inc.,17.68M,3.33%,174789,708.48M
205,NCRA,"Nocera, Inc.",17.17M,9.02%,13,24.07M
206,STKH,Steakholder Foods Ltd.,16.55M,-0.73%,68448,-
