,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
158,APPF,"AppFolio, Inc.",8.07B,1.30%,46244,620.45M
159,DSGX,The Descartes Systems Group Inc.,8.04B,-1.19%,72346,572.93M
160,DLB,"Dolby Laboratories, Inc.",8.02B,0.46%,91928,1.28B
161,OLED,Universal Display Corporation,7.89B,-1.79%,314333,576.43M
162,CCCS,CCC Intelligent Solutions Holdings Inc.,7.49B,-0.81%,3394716,866.38M
163,YMM,Full Truck Alliance Co. Ltd.,7.45B,12.43%,30661578,1.19B
164,CIEN,Ciena Corporation,7.45B,-0.98%,1534328,4.37B
165,SAIC,Science Applications International Corporation,7.38B,0.97%,108833,7.68B
166,FN,Fabrinet,7.30B,1.44%,157769,2.72B
167,FOUR,"Shift4 Payments, Inc.",7.18B,-3.22%,724053,2.56B
168,CGNX,Cognex Corporation,7.09B,0.34%,782627,837.55M
169,LYFT,"Lyft, Inc.",7.08B,3.25%,6006630,4.40B
170,BILL,BILL Holdings Inc,7.01B,2.20%,895818,1.19B
171,UI,Ubiquiti Inc.,7.01B,-2.58%,48744,1.88B
172,RMBS,Rambus Inc.,6.88B,-3.36%,609909,461.12M
173,SPSC,"SPS Commerce, Inc.",6.81B,1.44%,65348,536.91M
174,ALTR,Altair Engineering Inc.,6.78B,-0.33%,156591,612.70M
175,MTSI,"MACOM Technology Solutions Holdings, Inc.",6.65B,-1.52%,108109,625.45M
176,ARW,"Arrow Electronics, Inc.",6.62B,0.27%,397299,33.11B
177,VNT,Vontier Corporation,6.62B,0.77%,259960,3.10B
178,KVYO,"Klaviyo, Inc.",6.38B,-0.76%,461407,698.10M
179,QLYS,"Qualys, Inc.",6.38B,1.00%,149003,554.46M
180,NOVT,Novanta Inc.,6.31B,-0.07%,53316,881.66M
181,G,Genpact Limited,6.13B,0.78%,554025,4.48B
182,NSIT,"Insight Enterprises, Inc.",6.06B,0.41%,108113,9.18B
183,LFUS,"Littelfuse, Inc.",5.93B,-1.14%,37398,2.36B
184,ALGM,"Allegro MicroSystems, Inc.",5.77B,-1.82%,537736,1.08B
185,SMAR,Smartsheet Inc.,5.69B,0.05%,1085412,913.73M
186,DV,"DoubleVerify Holdings, Inc.",5.59B,1.38%,582029,572.54M
187,FRSH,Freshworks Inc.,5.56B,0.86%,745366,596.43M
188,TENB,"Tenable Holdings, Inc.",5.54B,0.34%,383900,798.71M
189,STNE,StoneCo Ltd.,5.42B,0.35%,2099959,2.31B
190,VRNS,"Varonis Systems, Inc.",5.41B,2.03%,453764,499.16M
191,CLS,Celestica Inc.,5.40B,0.12%,1449009,7.96B
192,PEGA,Pegasystems Inc.,5.39B,0.25%,196311,1.43B
193,ST,Sensata Technologies Holding plc,5.37B,0.03%,1040662,4.05B
194,HCP,"HashiCorp, Inc.",5.34B,-0.52%,766749,583.14M
195,EXLS,"ExlService Holdings, Inc.",5.28B,-1.85%,337494,1.63B
196,BRZE,"Braze, Inc.",5.26B,1.61%,241389,439.52M
197,KD,"Kyndryl Holdings, Inc.",5.13B,-3.23%,1715055,16.46B
198,ALIT,"Alight, Inc.",5.07B,-,1349708,3.41B
199,CRUS,"Cirrus Logic, Inc.",5.04B,-1.71%,124997,1.79B
200,EEFT,"Euronet Worldwide, Inc.",5.01B,-2.41%,194722,3.69B
201,NVMI,Nova Ltd.,4.99B,-1.21%,74117,517.92M
202,DLO,DLocal Limited,4.94B,3.99%,342084,580.77M
203,ASGN,ASGN Incorporated,4.77B,1.40%,87108,4.45B
204,GBTG,"Global Business Travel Group, Inc.",4.74B,0.73%,24421,2.27B
205,CLVT,Clarivate Plc,4.70B,0.14%,1146286,2.63B
206,WK,Workiva Inc.,4.66B,-0.01%,87760,630.04M
207,BMI,"Badger Meter, Inc.",4.64B,-1.83%,67255,703.59M
208,CWAN,"Clearwater Analytics Holdings, Inc.",4.62B,-2.04%,1119621,368.17M
209,SLAB,Silicon Laboratories Inc.,4.62B,-2.98%,78909,782.26M
210,VERX,"Vertex, Inc.",4.61B,-0.03%,212043,572.39M
211,FROG,JFrog Ltd.,4.55B,1.29%,592647,349.89M
212,FIVN,"Five9, Inc.",4.46B,-0.76%,551389,910.49M
213,PAGS,PagSeguro Digital Ltd.,4.38B,3.07%,1660954,3.27B
214,SQSP,"Squarespace, Inc.",4.38B,0.95%,255250,1.01B
215,BOX,"Box, Inc.",4.32B,-0.02%,1370549,1.04B
216,CVLT,"Commvault Systems, Inc.",4.30B,1.02%,166645,819.43M
217,AVT,"Avnet, Inc.",4.27B,2.14%,430826,25.61B
218,ITRI,"Itron, Inc.",4.23B,-1.81%,200599,2.17B
219,POWI,"Power Integrations, Inc.",4.22B,-1.93%,97364,444.54M
220,BL,"BlackLine, Inc.",4.22B,-0.09%,563589,590.00M
221,SYNA,Synaptics Incorporated,4.18B,-2.48%,62954,1.03B
222,CNXC,Concentrix Corporation,4.18B,0.41%,199477,7.11B
223,IPGP,IPG Photonics Corporation,4.17B,-2.02%,123936,1.29B
224,SATS,EchoStar Corporation,4.14B,1.48%,817501,17.02B
225,SEDG,"SolarEdge Technologies, Inc.",4.14B,-5.31%,961047,2.98B
226,BLKB,"Blackbaud, Inc.",3.98B,-0.19%,71432,1.11B
227,RELY,"Remitly Global, Inc.",3.87B,0.12%,419225,944.29M
228,DXC,DXC Technology Company,3.86B,-1.78%,726809,13.87B
229,AI,"C3.ai, Inc.",3.76B,-0.07%,2918966,296.40M
230,ALRM,"Alarm.com Holdings, Inc.",3.74B,0.24%,67461,881.68M
231,CXM,"Sprinklr, Inc.",3.71B,0.99%,752580,703.48M
232,TDC,Teradata Corporation,3.71B,-0.21%,346124,1.83B
233,DOCN,"DigitalOcean Holdings, Inc.",3.67B,1.61%,386265,692.88M
234,ASAN,"Asana, Inc.",3.65B,0.18%,1721783,631.60M
235,ACLS,"Axcelis Technologies, Inc.",3.65B,-2.04%,441092,1.13B
236,SANM,Sanmina Corporation,3.65B,-1.56%,130830,8.45B
237,WOLF,"Wolfspeed, Inc.",3.64B,-3.40%,1142287,870.30M
238,BDC,Belden Inc.,3.60B,-0.71%,86565,2.51B
239,TSEM,Tower Semiconductor Ltd.,3.56B,-1.55%,386487,1.42B
240,AYX,"Alteryx, Inc.",3.49B,0.02%,613456,970.00M
241,PYCR,"Paycor HCM, Inc.",3.45B,0.41%,418211,604.65M
242,FORM,"FormFactor, Inc.",3.45B,-0.36%,211484,663.10M
243,NCNO,"nCino, Inc.",3.43B,2.51%,267049,462.03M
244,ACIW,"ACI Worldwide, Inc.",3.43B,-0.73%,148070,1.45B
245,PWSC,"PowerSchool Holdings, Inc.",3.43B,-0.39%,434985,697.65M
246,CAMT,Camtek Ltd.,3.39B,1.51%,238719,315.38M
247,CRDO,Credo Technology Group Holding Ltd,3.38B,-0.99%,1018159,164.28M
248,RNG,"RingCentral, Inc.",3.35B,-0.08%,613172,2.20B
249,AUR,"Aurora Innovation, Inc.",3.35B,3.44%,3581253,-
250,RPD,"Rapid7, Inc.",3.35B,-0.76%,450108,777.71M
251,CLSK,"CleanSpark, Inc.",3.27B,4.91%,26362815,214.38M
252,DIOD,Diodes Incorporated,3.25B,-2.08%,61850,1.66B
253,LPL,"LG Display Co., Ltd.",3.25B,-0.60%,157506,16.47B
254,FLYW,Flywire Corporation,3.25B,-0.68%,731698,403.09M
255,NVEI,Nuvei Corporation,3.21B,1.35%,245387,1.19B
256,VSH,"Vishay Intertechnology, Inc.",3.20B,-1.38%,368685,3.40B
257,SPT,"Sprout Social, Inc.",3.16B,-1.36%,692373,333.64M
258,LITE,Lumentum Holdings Inc.,3.16B,0.34%,529840,1.44B
259,PI,"Impinj, Inc.",3.16B,-2.46%,96138,307.54M
260,INST,"Instructure Holdings, Inc.",3.12B,-0.19%,190244,530.21M
261,MQ,"Marqeta, Inc.",3.12B,1.24%,3667180,676.17M
262,YOU,"Clear Secure, Inc.",3.04B,-0.79%,1153170,613.58M
263,ENV,"Envestnet, Inc.",3.02B,-1.03%,123046,1.25B
264,SRAD,Sportradar Group AG,3.02B,1.38%,61887,884.39M
265,PAY,"Paymentus Holdings, Inc.",2.97B,3.84%,595292,614.49M
266,QTWO,"Q2 Holdings, Inc.",2.95B,0.62%,292937,624.62M
267,RIOT,"Riot Blockchain, Inc.",2.95B,2.37%,13969827,280.68M
268,KLIC,"Kulicke and Soffa Industries, Inc.",2.82B,-1.00%,231929,737.45M
269,WNS,WNS (Holdings) Limited,2.69B,-0.63%,43003,1.30B
270,AVDX,"AvidXchange Holdings, Inc.",2.64B,1.43%,659628,380.72M
271,APPN,Appian Corporation,2.62B,2.70%,367824,545.36M
272,PLXS,Plexus Corp.,2.57B,1.34%,37924,4.10B
273,ESE,ESCO Technologies Inc.,2.56B,2.79%,151352,968.85M
274,INTA,"Intapp, Inc.",2.51B,-0.29%,240883,392.15M
275,EVTC,"EVERTEC, Inc.",2.48B,0.71%,208218,694.71M
276,NABL,"N-able, Inc.",2.42B,-0.53%,175721,421.88M
277,ODD,Oddity Tech Ltd.,2.41B,-0.91%,1284715,508.69M
278,TIXT,TELUS International (Cda) Inc.,2.40B,-2.17%,63553,2.71B
279,SIMO,Silicon Motion Technology Corporation,2.40B,-0.54%,144345,945.92M
280,RUN,Sunrun Inc.,2.40B,-6.59%,11813735,2.26B
281,VIAV,Viavi Solutions Inc.,2.38B,-4.52%,1171350,1.01B
282,PRGS,Progress Software Corporation,2.36B,-0.22%,102076,694.44M
283,VSAT,"Viasat, Inc.",2.34B,1.18%,516679,3.80B
284,SONO,"Sonos, Inc.",2.32B,1.25%,675851,1.60B
285,ALKT,"Alkami Technology, Inc.",2.29B,0.82%,119292,264.83M
286,JAMF,Jamf Holding Corp.,2.29B,0.86%,134093,560.57M
287,RAMP,"LiveRamp Holdings, Inc.",2.27B,0.23%,155101,636.44M
288,CLBT,Cellebrite DI Ltd.,2.27B,2.13%,1049497,325.11M
289,CALX,"Calix, Inc.",2.27B,-0.72%,340928,1.04B
290,ZETA,Zeta Global Holdings Corp.,2.27B,-0.43%,612750,728.72M
291,OSIS,"OSI Systems, Inc.",2.24B,-0.49%,20563,1.37B
