,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
182,TTI,"TETRA Technologies, Inc.",550.35M,1.54%,683230,626.26M
183,GPRK,GeoPark Limited,523.02M,0.64%,555519,787.86M
184,SD,"SandRidge Energy, Inc.",497.15M,2.61%,309154,148.64M
185,EGY,"VAALCO Energy, Inc.",456.39M,3.46%,379908,402.50M
186,OSG,"Overseas Shipholding Group, Inc.",427.81M,1.83%,182120,451.87M
187,URG,Ur-Energy Inc.,427.29M,-0.66%,3070377,17.68M
188,SGU,"Star Group, L.P.",386.87M,0.18%,10933,1.83B
189,SOI,"Solaris Oilfield Infrastructure, Inc.",369.89M,-1.40%,147788,292.95M
190,WTI,"W&T Offshore, Inc.",367.14M,0.60%,2906435,532.66M
191,OIS,"Oil States International, Inc.",350.34M,0.18%,852691,782.28M
192,BOOM,DMC Global Inc.,343.88M,0.52%,65495,719.19M
193,REI,"Ring Energy, Inc.",328.57M,5.12%,2085371,361.06M
194,CCLP,CSI Compressco LP,313.49M,1.85%,259071,386.13M
195,UROY,Uranium Royalty Corp.,305.23M,-2.76%,1474658,21.29M
196,HNRG,Hallador Energy Company,271.01M,1.87%,186852,667.37M
197,SJT,San Juan Basin Royalty Trust,265.02M,-1.75%,267280,78.31M
198,BROG,Brooge Energy Limited,250.96M,-1.69%,215,-
199,RNGR,"Ranger Energy Services, Inc.",250.65M,0.77%,56482,636.60M
200,AMPY,Amplify Energy Corp.,235.24M,2.10%,461538,79.21B
201,FET,"Forum Energy Technologies, Inc.",227.86M,-1.67%,11338,738.86M
202,NC,"NACCO Industries, Inc.",218.27M,1.44%,7494,214.79M
203,SMLP,"Summit Midstream Partners, LP",216.14M,-1.26%,3480,417.31M
204,NGS,"Natural Gas Services Group, Inc.",215.91M,2.48%,25281,108.77M
205,GTE,Gran Tierra Energy Inc.,198.92M,4.95%,427104,636.96M
206,EPM,Evolution Petroleum Corporation,198.06M,2.70%,164332,96.67M
207,PNRG,PrimeEnergy Resources Corporation,182.24M,-2.13%,1126,111.14M
208,GEOS,Geospace Technologies Corporation,158.61M,2.85%,18950,143.43M
209,EP,Empire Petroleum Corporation,146.81M,2.09%,6983,37.42M
210,KGEI,Kolibri Global Energy Inc.,130.39M,7.02%,613,-
211,AMTX,"Aemetis, Inc.",127.21M,3.42%,270868,182.69M
212,KLXE,"KLX Energy Services Holdings, Inc.",121.24M,0.14%,95773,888.40M
213,VTNR,"Vertex Energy, Inc.",112.22M,-0.42%,1178818,3.18B
214,PHX,PHX Minerals Inc.,112.11M,-1.32%,72047,44.46M
215,EPSN,Epsilon Energy Ltd.,109.69M,0.20%,57544,37.38M
216,DLNG,Dynagas LNG Partners LP,105.62M,1.41%,28785,158.59M
217,VOC,VOC Energy Trust,104.38M,0.57%,28758,19.14M
218,MMLP,Martin Midstream Partners L.P.,103.35M,0.78%,13065,797.96M
219,CRT,Cross Timbers Royalty Trust,102.30M,0.18%,15960,12.71M
220,BATL,Battalion Oil Corporation,94.79M,6.24%,5503,250.32M
221,DTI,Drilling Tools International Corp.,89.90M,-0.34%,8218,-
222,FTK,"Flotek Industries, Inc.",83.35M,21.71%,315985,194.09M
223,SND,"Smart Sand, Inc.",79.97M,-0.52%,106937,295.97M
224,IMPP,Imperial Petroleum Inc.,79.38M,5.06%,463465,183.73M
225,PFIE,"Profire Energy, Inc.",76.14M,0.94%,237099,57.80M
226,NINE,"Nine Energy Service, Inc.",74.89M,3.54%,327662,609.53M
227,SLNG,"Stabilis Solutions, Inc.",73.78M,3.65%,5398,73.11M
228,AE,"Adams Resources & Energy, Inc.",62.59M,-0.73%,5130,2.78B
229,PED,PEDEVCO Corp.,60.54M,6.10%,159472,29.97M
230,PRT,PermRock Royalty Trust,53.16M,1.49%,22249,9.03M
231,NRT,North European Oil Royalty Trust,49.38M,1.68%,17408,12.68M
232,BPT,BP Prudhoe Bay Royalty Trust,45.41M,6.10%,94481,22.11M
233,DWSN,Dawson Geophysical Company,45.29M,-4.79%,1710,87.25M
234,PVL,Permianville Royalty Trust,44.20M,1.53%,19685,15.17M
235,NCSM,"NCS Multistage Holdings, Inc.",37.34M,-3.12%,12685,142.47M
236,CKX,"CKX Lands, Inc.",26.65M,1.50%,42,1.08M
237,SDPI,"Superior Drilling Products, Inc.",26.65M,3.75%,174012,21.95M
238,BANL,CBL International Limited,26.50M,-1.87%,15551,419.17M
239,ICD,"Independence Contract Drilling, Inc.",26.34M,0.59%,21746,210.11M
240,USEG,U.S. Energy Corp.,25.81M,1.90%,10073,35.37M
241,BRN,"Barnwell Industries, Inc.",23.37M,1.29%,5200,23.91M
242,VIVK,"Vivakor, Inc.",23.07M,-2.05%,28653,61.79M
243,CEI,"Camber Energy, Inc.",22.69M,3.00%,1300702,10.35M
244,RCON,"Recon Technology, Ltd.",22.22M,-0.33%,45718,9.27M
245,INDO,Indonesia Energy Corporation Limited,21.81M,0.51%,79838,3.61M
246,MXC,Mexco Energy Corporation,20.52M,2.55%,5442,7.01M
247,MTR,Mesa Royalty Trust,17.71M,2.79%,4874,4.13M
248,HUSA,Houston American Energy Corp.,13.96M,3.13%,18102,872.18K
249,MARPS,Marine Petroleum Trust,8.02M,0.25%,14349,1.18M
250,ENSV,Enservco Corporation,5.21M,0.98%,81534,22.08M
251,TPET,Trio Petroleum Corp.,3.86M,-5.79%,703482,-
