,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
265,LESL,"Leslie's, Inc.",1.36B,-1.42%,1283944,1.43B
266,MCRI,"Monarch Casino & Resort, Inc.",1.35B,1.63%,84823,501.48M
267,CAL,"Caleres, Inc.",1.34B,2.87%,106855,2.82B
268,RSI,"Rush Street Interactive, Inc.",1.31B,0.51%,440653,691.16M
269,PLYA,Playa Hotels & Resorts N.V.,1.30B,0.52%,235362,977.50M
270,MSC,Studio City International Holdings Limited,1.29B,-1.40%,251,445.54M
271,OSW,OneSpaWorld Holdings Limited,1.28B,3.58%,440232,794.05M
272,GOOS,Canada Goose Holdings Inc.,1.26B,0.11%,382169,954.14M
273,SBH,"Sally Beauty Holdings, Inc.",1.24B,4.86%,572557,3.70B
274,CWH,"Camping World Holdings, Inc.",1.23B,0.39%,320173,6.23B
275,OLPX,"Olaplex Holdings, Inc.",1.22B,3.53%,639600,458.30M
276,WINA,Winmark Corporation,1.21B,-0.28%,5779,83.24M
277,SHCO,Soho House & Co Inc.,1.16B,-0.34%,27570,1.12B
278,CARS,Cars.com Inc.,1.15B,-1.85%,220146,689.18M
279,EXTO,Almacenes Éxito S.A.,1.13B,-0.42%,24709,5.45B
280,KRUS,"Kura Sushi USA, Inc.",1.08B,4.10%,42718,199.59M
281,BLBD,Blue Bird Corporation,1.06B,0.97%,157392,1.21B
282,TRS,TriMas Corporation,1.02B,0.85%,73545,893.55M
283,BZH,"Beazer Homes USA, Inc.",982.94M,2.63%,100952,2.15B
284,GDEN,"Golden Entertainment, Inc.",969.74M,3.14%,148776,1.05B
285,NGMS,NeoGames S.A.,967.93M,0.21%,9305,191.54M
286,ACEL,"Accel Entertainment, Inc.",956.20M,-,103306,1.17B
287,MNRO,"Monro, Inc.",953.10M,0.43%,174519,1.28B
288,HOV,"Hovnanian Enterprises, Inc.",913.24M,1.16%,29085,2.83B
289,FIGS,"FIGS, Inc.",898.83M,-0.28%,1665240,545.65M
290,TILE,"Interface, Inc.",892.22M,1.30%,90220,1.26B
291,HIBB,"Hibbett, Inc.",881.35M,0.87%,207919,1.72B
292,SCVL,"Shoe Carnival, Inc.",858.72M,2.21%,89397,1.19B
293,BJRI,"BJ's Restaurants, Inc.",850.79M,0.92%,257996,1.33B
294,ETD,Ethan Allen Interiors Inc.,839.46M,1.57%,50563,704.86M
295,MBUU,"Malibu Boats, Inc.",831.12M,0.06%,44645,1.21B
296,PTLO,Portillo's Inc.,830.98M,-3.11%,674508,679.91M
297,EVGO,"EVgo, Inc.",808.06M,-0.37%,1031229,160.95M
298,LAZR,"Luminar Technologies, Inc.",805.80M,1.30%,4931669,69.78M
299,WWW,"Wolverine World Wide, Inc.",787.09M,3.14%,275532,2.24B
300,MYE,"Myers Industries, Inc.",780.49M,1.37%,126338,813.07M
301,EVRI,Everi Holdings Inc.,778.72M,-0.33%,528985,807.82M
302,CHPT,"ChargePoint Holdings, Inc.",770.43M,-1.37%,6798599,543.63M
303,AXL,"American Axle & Manufacturing Holdings, Inc.",770.32M,0.99%,949748,6.08B
304,SABR,Sabre Corporation,743.78M,-1.53%,1848490,2.91B
305,DIN,"Dine Brands Global, Inc.",735.80M,1.49%,60629,831.07M
306,XPOF,"Xponential Fitness, Inc.",724.68M,-2.36%,479730,318.66M
307,ECX,"ECARX Holdings, Inc.",708.53M,-5.24%,91233,4.67B
308,ARKO,Arko Corp.,699.59M,-5.42%,686852,9.41B
309,HZO,"MarineMax, Inc.",691.96M,0.42%,85510,2.41B
310,WOOF,"Petco Health and Wellness Company, Inc.",687.33M,-0.78%,11264308,6.16B
311,SMP,"Standard Motor Products, Inc.",679.70M,0.73%,36224,1.36B
312,BWMX,"Betterware de México, S.A.P.I. de C.V.",679.16M,-2.38%,25182,767.35M
313,JMIA,Jumia Technologies AG,668.09M,4.29%,3693568,207.11M
314,FLWS,"1-800-FLOWERS.COM, Inc.",666.90M,1.35%,52670,1.91B
315,DADA,Dada Nexus Limited,662.89M,1.41%,1057247,1.50B
316,HSAI,Hesai Group,647.76M,-8.91%,905992,264.74M
317,BALY,Bally's Corporation,633.70M,-1.04%,584246,2.41B
318,DESP,"Despegar.com, Corp.",631.50M,0.84%,116912,647.92M
319,SDA,SunCar Technology Group Inc.,615.85M,2.43%,264324,317.06M
320,LEGH,Legacy Housing Corporation,610.53M,2.52%,6009,230.98M
321,MOV,"Movado Group, Inc.",606.76M,-0.78%,132451,687.25M
322,CHUY,"Chuy's Holdings, Inc.",596.59M,-0.29%,36640,461.31M
323,BH,Biglari Holdings Inc.,594.01M,1.51%,2983,365.32M
324,DBI,Designer Brands Inc.,589.04M,5.31%,447419,3.08B
325,KRT,Karat Packaging Inc.,587.15M,0.46%,32249,402.74M
326,SES,SES AI Corporation,571.49M,-3.42%,172011,-
327,PLOW,"Douglas Dynamics, Inc.",560.35M,-0.49%,213403,568.18M
328,MLR,"Miller Industries, Inc.",550.88M,0.91%,30835,1.15B
