,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
174,KEX,Kirby Corporation,5.13B,0.46%,124444,3.09B
175,AL,Air Lease Corporation,5.06B,2.72%,1226382,2.68B
176,R,"Ryder System, Inc.",5.00B,0.04%,163029,11.78B
177,ALK,"Alaska Air Group, Inc.",4.87B,1.22%,1450567,10.43B
178,MOG.A,Moog Inc.,4.86B,1.78%,26999,3.42B
179,SRCL,"Stericycle, Inc.",4.85B,1.78%,150603,2.66B
180,MOG.B,Moog Inc.,4.80B,7.90%,69,3.42B
181,FSS,Federal Signal Corporation,4.77B,0.84%,143097,1.72B
182,FELE,"Franklin Electric Co., Inc.",4.67B,0.57%,37976,2.07B
183,MDU,"MDU Resources Group, Inc.",4.67B,-0.75%,948304,4.66B
184,GATX,GATX Corporation,4.67B,0.52%,37926,1.41B
185,AVAV,"AeroVironment, Inc.",4.56B,-0.93%,123907,705.78M
186,GTES,Gates Industrial Corporation plc,4.45B,2.08%,5184737,3.57B
187,HRI,Herc Holdings Inc.,4.43B,0.75%,99242,3.28B
188,VMI,"Valmont Industries, Inc.",4.35B,0.36%,72148,4.17B
189,CPA,"Copa Holdings, S.A.",4.26B,4.36%,233784,2.97B
190,DY,"Dycom Industries, Inc.",4.11B,0.64%,99136,4.18B
191,SNDR,"Schneider National, Inc.",4.07B,0.13%,271494,5.50B
192,ACA,"Arcosa, Inc.",4.02B,0.21%,45399,2.31B
193,EXPO,"Exponent, Inc.",4.01B,-0.13%,52740,536.77M
194,CAR,"Avis Budget Group, Inc.",4.01B,-,249846,12.01B
195,ERJ,Embraer S.A.,3.98B,0.35%,1091906,4.54B
196,TEX,Terex Corporation,3.89B,0.49%,123699,5.15B
197,VRRM,Verra Mobility Corporation,3.83B,1.37%,461440,817.31M
198,JOBY,"Joby Aviation, Inc.",3.81B,-0.18%,2389932,1.23M
199,KAI,Kadant Inc.,3.80B,0.79%,31295,957.67M
200,MATX,"Matson, Inc.",3.77B,-1.60%,73741,3.09B
201,BCO,The Brink's Company,3.76B,0.82%,41027,4.87B
202,AEIS,"Advanced Energy Industries, Inc.",3.74B,-1.47%,96176,1.66B
203,ENS,EnerSys,3.74B,-0.12%,43238,3.66B
204,CBZ,"CBIZ, Inc.",3.74B,-0.82%,123749,1.59B
205,NSP,"Insperity, Inc.",3.74B,-0.91%,133716,6.49B
206,SPR,"Spirit AeroSystems Holdings, Inc.",3.69B,-0.09%,1795417,6.05B
207,OMAB,"Grupo Aeroportuario del Centro Norte, SAB de CV",3.65B,2.55%,39536,612.67M
208,GMS,GMS Inc.,3.64B,0.93%,199917,5.39B
209,CAAP,Corporación América Airports S.A.,3.62B,1.95%,103278,1.65B
210,CSWI,"CSW Industrials, Inc.",3.61B,0.89%,31689,777.67M
211,ATS,ATS Corporation,3.61B,-0.76%,24005,2.20B
